Feedback,Name,Type,Song,Genres
"Hello! really liked the song, heard some catchy stuff - as my personal option, the vocals are pretty cool! they really works for me - but some how, the instrumental does not have the same brilliance as the vocal. :-/ still curious about your next submissions! hopefully i can approve it! until then, i wising you the best of luck and success with your music! :)",Mau Sangon,Fail,Obsessed,"Afro House / Amapiano, Alternative rock, Beats / Lo-fi, Dance pop, Indie folk, Indie pop, International pop, Progressive / Melodic House & Techno, Rap in English, R&B, Catchy, Chill, Downbeat, Energetic, Good vibes, Unique, Indie, Lo-fi, Mainstream, Melodic, Dreamy, Positive, Beats, Electronic sounds, Radio edit, Synths, All supports, Urban sounds, Vocals, Available on Spotify"
"Lovely calm track, though not the right fit. This song has a really soothing vocal paired with chill instrumentation that gave it a nice laidback feel. However, the production leaned more towards pop than house music. Unfortunately it doesn't include the house elements we're looking for in our music selection. Thanks for sharing your work - I can tell it was well crafted. While it's not suitable for our purposes, I hope you find success placing it in the right context. Keep up the great songwriting!",Unique Playlists,Fail,Obsessed,"Chill out, Dance music, Dance pop, Deep house, House music, Catchy, Chill, Good vibes, Mainstream, Melodic, Relaxing, Tropical, Available on Spotify"
"Hi, Thanks for sending us your track. We really like the track. Love the vocal topline and the vox stacking. The production is great, well produced and has a nice chill vibe!! We wouldn't change anything in the track, the mix, master everything is great. Looking forward to hearing more from you. Thanks, Cali Studios.",Chill House 2023 (Hannah - TCG),Fail,Obsessed,"Chill out, Commercial / Mainstream, Dance music, Dance pop, Drill/Jersey, Hip-hop, House music, Indie pop, R&B, Trap, Catchy, Chill, Danceable, Energetic, Good vibes, Groovy, Melancholic, Melodic, Romantic, Upbeat, Unplugged, Acoustic guitar, Autotune, Electric guitar, Electronic sounds, Freestyle, Finished track, Drums, Piano, Professional production, Remix, Synths"
"Hi Aspen -- ah, this is hard. Your vocal tone is lovely, and I'm all for this dreamy, cruising energy. In truth, where it's hard is the writing. The lyrics are quite on the nose for me. Sorry I can't help with a placement here!",Cali Recording Studios,Fail,Obsessed,"Ambient, Chill out, Classical music, Deep house, Film music, Instrumental, Instrumental hip-hop, Minimal, Neo / Modern Classical, Authentic, Catchy, Chill, Contemporary, Downbeat, Good vibes, Lo-fi, Meaningful lyrics, Melancholic, Melodic, Dreamy, Relaxing, Romantic, Simple, Subdued, Acoustic guitar, Instrumental, Finished track, Piano, Professional production, Available on Spotify"
You've been refunded 4 Grooviz!,Jeremy Lim,N/A,Obsessed,Empty link column
"Done, here's the link! By the way, don't forget to share and like the playlist if you find it cool! https://open.spotify.com/playlist/4zxmBF9YgWuJ0Dy8AtxZ33?si=bdde778ad04f4ac0",Adam Mc Callig,N/A,Obsessed,"Alternative rock, Chill out, Deep house, Electronica, Hip-hop, Pop rock, Rock & Roll / Classic Rock, Singer songwriter, Surprising, All supports"
https://open.spotify.com/playlist/76r5zfpxzVBMeNvQ5JsxR5?si=348fb5047f5e467c,Sphere Music,N/A,Obsessed,"Alternative rock, Chill / Lo-fi Hip-Hop, Chill out, Indie pop, Indie rock, Lofi bedroom, Pop Punk, Punk Rock, Synthpop, Synthwave, Catchy, Chill, Energetic, Indie, Meaningful lyrics, Mainstream, Melodic, Original, Available on Spotify"
"Thanks for submitting. Really killer vocals, solid electro pop feel. Just looking for a more upbeat indie pop sound with a big hook currently. Best of luck",Good Vibes,Fail,Obsessed,"Commercial / Mainstream, Dream pop, Indie pop, Lofi bedroom, Pop rock, Pop soul, Singer songwriter, Chill, Good vibes, Indie, Positive, Upbeat"
It’s a good song with a great production but the style is different to what we are used to share,Indie Cool,Fail,Obsessed,"Alternative rock, Electropop, Indie pop, Indie rock, International pop, Latin music, Pop rock, Post rock"
"i like the laidback mood here very chiled but i felt that hte style of the track was a bit too close to a more ambient and ethereal poppy sound in the electronic space, howeever my electronic curation has a more gritty trap / future bass sound so ill have to pass im afraid",AfroDaPlug,Fail,Obsessed,"Ambient, Chill out, Electronica, Experimental electronic, Funk, Lofi bedroom, R&B, Soul, Trip hop, Chill, Downbeat, Experimental, Intense, Lo-fi, Relaxing, Electronic sounds, Instrumental, Available on Spotify"
"Hey Aspen, thanks for sharing this track and congrats on your release! I appreciate reading the background on your artistry and inspiration and I like this song. The vocals are nicely delivered, the higher and lower vocals work well together, and the production creates such a cool dreamy feel. Overall production is done well and you've got a catchy electro pop song. For me, and this is subjective, it doesn't fit the style of my playlist as this is more on the romantic side of love and the song on melancholy focus on the darker/sad side of love. Would love to hear more, best of luck!",Jacob Grenz Music,Fail,Obsessed,"Commercial / Mainstream, Dream pop, Electronica, Electropop, Indie pop, Lofi bedroom, Progressive / Melodic House & Techno, Singer songwriter, Synthpop, Trance, Authentic, Chill, Dark, Meaningful lyrics, Melancholic, Melodic, Dreamy, Provocative, Relaxing, Romantic, Sensual, Captivating, Covers, Finished track, Vocals, Available on Spotify, Supported artist, Unsigned artist, Upcoming project, Young talent"
"Mesmerizing vocals & impressive pop-rock fusion! Intricate arrangement & indie flair showcase talent. Professional mix & polished sound resonate strongly. While current playlists seek ""catchy"" melodies, we appreciate your artistry & talent. Keep exploring & send new tracks! Thanks for sharing, good luck and best regards",JazzHopCafe,Fail,Obsessed,"Beats / Lo-fi, Commercial / Mainstream, Dance pop, Electro Jazz / Nu Jazz, Hip-hop, Indie folk, Indie pop, Instrumental hip-hop, Rap in English, Trip hop, Authentic, Catchy, Chill, Contemporary, Creative, Danceable, Downbeat, Eclectic, Energetic, Experimental, Fusion, Good vibes, Groovy, Lo-fi, Meaningful lyrics, Mainstream, Melancholic, Melodic, Midtempo, Original, Positive, Provocative, Relaxing, Simple, Surprising, Underground, Upbeat, All supports, Available on Spotify, Composer, Early project, On stage experience, International potential, Strong social media presence, Supported artist, Unsigned artist, Upcoming project, Young talent"
"Hey Aspen Jade, I like the melody of your song. I also think your voice sounds very nice, but the song lacks a little bit that extra and unique. It could be a little louder from me. But that's just my opinion. I'm not going to add your song to my playlist. Good luck with your song!",538 Koningsdag 2024,Fail,Obsessed,"Commercial / Mainstream, Dance music, Dance pop, Disco, Latin Pop, Synthpop, Good vibes, International potential, Young talent"
"Hey there, The song stands out with the soulful and delicate vocals and a serene house drop that accompanies afterwards. Unfortunately, the genre and style of the song is more upbeat and wouldn't fit with our indie-folk focused playlist. Thanks for sending!",a song in life,Fail,Obsessed,"Alternative rock, Country music, Dream pop, Indie folk, Indie pop, Indie rock, Punk Rock, Shoegaze, Singer songwriter, Surf rock, Authentic, Catchy, Chill, Contemporary, Creative, Curious, Danceable, Dark, Offbeat, Downbeat, Dramatic, Eccentric, Eclectic, Energetic, Engaged, Experimental, Standard, Fusion, Good vibes, Groovy, Unique, Indie, Intense, Lo-fi, Meaningful lyrics, Mainstream, Melancholic, Melodic, Midtempo, Dreamy, Original, Positive, Provocative, Psychological, Relaxing, Romantic, Sensual, Simple, Subdued, Surprising, Tropical, Underground, Captivating, Upbeat, Unplugged, Acoustic guitar, Autotune, Bass guitar, Beatmaker, Beats, Featuring, Covers, Brass, Demos, Electric guitar, Electronic sounds, Tests, Explicit, Freestyle, Instrumental, Live recording, Low fidelity, Finished track, Drums, Piano, Professional production, Radio edit, Remix, Strings, Sync-friendly, Synths, All supports, Urban sounds, Video clip, Vocals, Available on Spotify, Composer, Early project, International potential, Strong social media presence, Supported artist, Unsigned artist, Upcoming project, Young talent"
"Hi there, thank you for sharing your music with us, we're digging the vibe on this, the song got a tuneful rhythm flow and quality. However though, considering our playlists not 100 % fitting the mood im trying to set, im afraid... , but dont discourage since this is just a matter of taste, we hope you understand. Thanks for the listen and good luck with the release.",Artist Intelligent System (H&M and BERSHKA 2024),Fail,Obsessed,"Afro House / Amapiano, Chill out, Commercial / Mainstream, Dance music, Dance pop, Deep house, Electronica, Electropop, Future house, House music, Danceable, Energetic, Groovy, Mainstream"
"Hi Aspen! This was really close, I wanted just a tad more impact on the choruses when the house beat came in and felt a little less grabbed by the halftime trap style chorus. Kindly passing here but hope to hear more :)",inspired electronic.,Fail,Obsessed,"Afro House / Amapiano, Bass music, Chill out, Dance music, Electronica, Indie Dance, Indie pop, UK Garage / Bassline, Authentic, Chill, Creative, Energetic, Good vibes, Unique, Positive, Beats, Professional production, Available on Spotify, Early project, Supported artist, Unsigned artist, Upcoming project, Young talent"
"Hey Aspen Jade! Glad to hear your music.The vibe of this song is really resonating with us and we're enjoying the tuneful rhythm. Regrettably, male vocals didn't captivate us enough for our playlists. However, taste varies from person to person, so please don't feel disheartened. Thank you for allowing us to listen and best of luck with your release!",From Here To Mars,Fail,Obsessed,"Bass music, Commercial / Mainstream, Dance music, Dance pop, Deep house, Dubstep, Electronica, Electropop, Future house, House music"
"Hi friend! Thanks for sharing with Social Rave your track. This is a great track with beautiful vocals. Perhaps the drop lacks a bit more power to better complement the rest of the track. Keep working on it. Send us more of your music, and we'll be glad to hear it. Have a nice day Aspen Jade.",Social Rave,Fail,Obsessed,"Acid house, Dance music, Deep house, Electronica, Experimental electronic, Future house, House music, Minimal, Tech House, Techno, Contemporary, Creative, Danceable, Dark, Eclectic, Energetic, Fusion, Good vibes, Groovy, Hardcore, Intense, Lo-fi, Melodic, Original, Positive, Psychological, Relaxing, Simple, Tropical, Underground, Beatmaker, Demos, Electronic sounds, Tests, Explicit, Instrumental, Live recording, Low fidelity, Finished track, Drums, Professional production, Radio edit, Remix, Strings, Sync-friendly, Synths, All supports, Vocals, Available on Spotify, Composer, Early project, International potential, Supported artist, Unsigned artist, Upcoming project, Young talent"
"Hey, thanks for sending your submission. I really like the overall vibes but i am not such a big fan of the vocals. I wish you good luck and greetings",Real Friends,Fail,Obsessed,"Chill / Lo-fi Hip-Hop, Chill out, Commercial / Mainstream, Dream pop, Electronica, Hip-hop, Indie pop, Indie rock, Progressive / Melodic House & Techno, Trap, Chill, Creative, Danceable, Dark, Energetic, Experimental, Good vibes, Groovy, Unique, Indie, Lo-fi, Melancholic, Melodic, Dreamy, Relaxing, Sensual, Surprising, Tropical, All supports, Available on Spotify"
"Hello Aspen Jade, thank you so much for sending us your composition. It is a nice track but, honestly, It is very far from our share range and preferences. As a website focused on clubbing and on the contemporary electronic underground scene, we're looking for something different to share, something dancefloor-oriented with a strong electro, techno or house background and this is not exactly a match. I'm sorry. Thank you again, all the best and good luck.",Parkett,Fail,Obsessed,"Acid house, Ambient, Deep house, Electronica, Hard Dance / Hardcore / Hardstyle, House music, Minimal, Tech House, Techno, UK Garage / Bassline, Catchy, Danceable, Experimental, Good vibes, Groovy, Intense, Melodic, Relaxing, Underground, Upbeat, Beatmaker, Beats, Electronic sounds, Instrumental, Live recording, Drums, Professional production, Remix, Synths, Available on Spotify, Composer, Early project, On stage experience, International potential, Strong social media presence, Supported artist, Unsigned artist, Upcoming project, Young talent"
"Hi Aspen, thanks for submitting Obsessed. Cool track. LOVE the production. A little to dance for the Pop Polaroid Playlist, so we will not be adding this one. Wishing you the best of luck though, it's a great track.",Pop Dynamo,Fail,Obsessed,"Cloud Rap / Hip Hop, Commercial / Mainstream, Indie pop, Soul, Trap, Authentic, Catchy, Chill, Indie, Meaningful lyrics, Mainstream, Melodic, Original, Relaxing, Sensual, Simple, Underground, Acoustic guitar, Autotune, Bass guitar, Electric guitar, Finished track, Drums, Piano, Professional production, Radio edit, Sync-friendly, Urban sounds, Vocals, Available on Spotify, Early project, On stage experience, International potential, Strong social media presence, Supported artist, Unsigned artist, Upcoming project, Young talent"
"https://open.spotify.com/playlist/0ha0eDZwadHA4wTCKyN5VQ?si=b067733322fe45fa If you liked our list and placement and want to share the news on Instragram, please tag @cosmicleafofficial. Thanks",Cosmicleaf,N/A,Obsessed,"Ambient, Chill / Lo-fi Hip-Hop, Chill out, Dream pop, Electronica, Instrumental hip-hop, Minimal, Neo / Modern Classical, Organic House / Downtempo, Trip hop, Chill, Dark, Downbeat, Dramatic, Lo-fi, Melancholic, Available on Spotify"
"Hey Aspen, Love this and can totally hear the sunset drive vibes for sure. Cool stuff and really well produced. I'm afraid that it's just not a match for the introspective, sad, cinematic sounds of our page (think Sufjan, Bon Iver, etc). Sorry! Thanks for sharing though and all the best!",Big Sad,Fail,Obsessed,"Commercial / Mainstream, Dream pop, Indie folk, Indie pop, Instrumental, Shoegaze, Singer songwriter, Dark, Indie, Meaningful lyrics, Melancholic, Romantic, Unplugged, Acoustic guitar, Electric guitar, Piano, Vocals"
"hey there! It's truly a fantastic piece of work, exceptionally well-produced, and showcases your outstanding ability of creating great chill & deep house music 🎵 Regrettably, your type featured more of commercial/mainstream style, than some instrumental melodic/deep house tunes (artists examples: MALIAN, Sultan + Shepard, Ben Böhmer) we're looking for our main list. no offense, just our honest tkae. we want to say that your dedication to this style is evident, and we're excited to see how your sound evolves in the future!",Vibe Agency,Fail,Obsessed,"Beats / Lo-fi, Classical music, Deep house, Electronic rock, House music, Neo / Modern Classical, Organic House / Downtempo, Progressive / Melodic House & Techno, Psychedelic rock, Solo Piano, Available on Spotify"
"First of all we want to thank you for the opportunity to give feedback on your music. The first aspect of the track that caught my attention was the voice you have. It sounds super professional and very well worked, apart from the talent that you have. On top of that, at the beginning I noticed an effect in your voice that in my opinion gives it a special touch and a very noticeable effect. The song transmits a lot of feeling and the combination of the very professional voice, the stylish instrumental and the very proffunate lyrics manages to send a very clear message. I really like the chorus, I think the positive thing is that many people who are in that phase of falling in love can identify with the message of this very obsessed with you . Finally I have decided not to share it on my social networks as I think they do not share the same style. In any case I wish you the best in your musical career and good luck for the future!",Trapetito,Fail,Obsessed,"Chill out, Dancehall / Reggaeton, Deep house, Disco, Electronica, Electro swing, Future house, Latin music, Trap, Urban pop, Remix, Video clip, Available on Spotify, Strong social media presence, Young talent"
You've been refunded 4 Grooviz!,Historia de una Canción (Story of a Song),N/A,Obsessed,Empty link column
You've been refunded 2 Grooviz!,Breathe The Music,N/A,Obsessed,Empty link column
https://aqui-musica.com/woman-on-top-las-voces-de-febrero/,Aquí Música Revista,N/A,Obsessed,"Commercial / Mainstream, Dream pop, Electropop, Film music, Indie pop, Indie rock, New wave, Pop Punk, Pop rock, Synthpop"
"Hey, added here, please share us in your socials! https://open.spotify.com/playlist/6bCEmAJv48yWdbaQKJ8kwo?si=55a84b3ff2934712",Hey you found me :),N/A,Obsessed,"Blues, Commercial / Mainstream, Dance music, Dance pop, Hip-hop, Latin music, Pop soul, R&B, Reggae, Soul, Authentic, Creative, Experimental, Fusion, Good vibes, Groovy, Mainstream, Tropical, Electronic sounds, Radio edit, Urban sounds, Available on Spotify, Early project, On stage experience, International potential, Young talent"
Hey I premiered the new song on the show. Here is the playlist on instagram : https://www.instagram.com/p/C2h8IQnINc9/ You can listen back to the show here : https://hearthis.at/ejazz-mix/ejazz-mixshow-25-1-2024/,Ejazz Radio,N/A,Obsessed,"Chill out, Commercial / Mainstream, Dance pop, Deep house, Hip-hop, Indie pop, Indie rock, Organic House / Downtempo, Pop rock, Progressive / Melodic House & Techno, Chill, Contemporary, Indie, Mainstream, Radio edit, Available on Spotify, Unsigned artist, Young talent"
Shared with my team! Hope you hear back. Best of luck!,Connor Morgans,N/A,Obsessed,"Alternative rock, Ambient, Commercial / Mainstream, Dance pop, Electro Jazz / Nu Jazz, Hardcore, Indie folk, Indie rock, Post punk, Shoegaze, Authentic, Chill, Contemporary, Creative, Curious, Dark, Dramatic, Eccentric, Eclectic, Energetic, Hardcore, Indie, Lo-fi, Mainstream, Melancholic, Dreamy, Underground, Weird, Unplugged, Acoustic guitar, Electric guitar, Electronic sounds, Available on Spotify, Composer, Early project, On stage experience, International potential, Strong social media presence, Supported artist, Unsigned artist, Upcoming project, Young talent"
"The guitars, lush vocals, and the laid-back, groovy beat are a winning combination that makes me want to dance on my bed! Excitedly looking forward to hearing more of your work!",hypesage,Fail,Obsessed,"Beats / Lo-fi, Chill / Lo-fi Hip-Hop, Chill out, Commercial / Mainstream, Indie pop, International pop, K-pop / J-pop, Pop soul, R&B, Catchy, Chill, Creative, Good vibes, Indie, Lo-fi, Meaningful lyrics, Mainstream, Positive, Relaxing, Romantic, Acoustic guitar, Freestyle, Instrumental, Live recording, Piano, Available on Spotify"
"""Obsessed"" by Aspen Jade is a compelling composition that delves into the theme of fixation with a unique musical flair. While the song showcases notable strengths, there are certain elements that, when refined, could amplify its overall impact. The production quality of the track is commendable, offering a well-crafted sonic backdrop that suits the theme. However, there's an opportunity to explore a more expansive dynamic range. Introducing moments of subtle build-ups or drops could add emotional depth, creating a more engaging listening experience and emphasizing the intensity of the fixation portrayed in the song. Lyrically, ""Obsessed"" presents an intriguing narrative, but there's room for greater lyrical precision. Some verses could benefit from more vivid imagery or metaphorical language to intensify the emotional connection. Strengthening the lyrical depth could enhance the storytelling aspect of the song, allowing listeners to immerse themselves more fully in the theme of obsession. Aspen Jade's vocal delivery is expressive and well-suited to the song's mood. However, there are moments where vocal phrasing could be further refined for a smoother flow. Addressing these nuances through careful vocal control or post-production adjustments could enhance the overall cohesion of the vocal performance. The song's structure is well-conceived, guiding the listener through the emotional landscape. Yet, there's an opportunity to experiment with arrangement to maintain interest. Introducing subtle variations or unexpected shifts in instrumentation could add an extra layer of intrigue, contributing to the overall complexity of the composition. In conclusion, ""Obsessed"" by Aspen Jade is a captivating piece with a distinctive theme. By exploring a more expansive dynamic range, refining lyrical precision, addressing vocal phrasing, and experimenting with arrangement, the song could reach new artistic heights. This is the reason why I decided not to feature the song. Nevertheless, we appreciate your submission and encourage continued exploration and refinement in your musical endeavors.",I am 101% in love with you,Fail,Obsessed,"Ambient, Chill out, Commercial / Mainstream, Dance music, Deep house, French house, House music, Instrumental, International pop, Singer songwriter, Catchy, Chill, Downbeat, Good vibes, Unique, Mainstream, Melancholic, Melodic, Dreamy, Original, Positive, Relaxing, Romantic, Sensual, Tropical, Acoustic guitar, Autotune, Bass guitar, Covers, Electric guitar, Electronic sounds, Radio edit, Remix, Synths, All supports, Available on Spotify, Composer"
We added your lovely song to our playlists: https://open.spotify.com/playlist/2r2wTmosYvM4OKsoJRSUxy?si=wicfvM__QRasO5XzI6X-4A&pi=e-GEd5nDCkRlKt https://open.spotify.com/playlist/0sPq9smUByebMg5SYKMokR?si=F2kHBMJuQQ6t8Wnu8n5yCw&pi=e-tKRqVKoZQKWx Keep up the amazing work and definitely keep sending lovely tunes,Rolipso,N/A,Obsessed,"Beats / Lo-fi, Chill out, Commercial / Mainstream, Dance pop, Deep house, Dream pop, Electronica, House music, Indie pop, Minimal, Authentic, Catchy, Chill, Good vibes, Indie, Lo-fi, Meaningful lyrics, Mainstream, Original, Positive, Relaxing, Captivating, Upbeat, Unplugged, Acoustic guitar, Autotune, Bass guitar, Beatmaker, Beats, Featuring, Covers, Brass, Demos, Electric guitar, Electronic sounds, Tests, Explicit, Freestyle, Instrumental, Live recording, Low fidelity, Finished track, Drums, Piano, Professional production, Radio edit, Remix, Strings, Sync-friendly, Synths, All supports, Urban sounds, Video clip, Vocals, Available on Spotify, Composer, Early project, On stage experience, International potential, Strong social media presence, Supported artist, Unsigned artist, Upcoming project, Young talent"
We added your lovely song to our playlists: https://open.spotify.com/playlist/2r2wTmosYvM4OKsoJRSUxy?si=wicfvM__QRasO5XzI6X-4A&pi=e-GEd5nDCkRlKt https://open.spotify.com/playlist/0sPq9smUByebMg5SYKMokR?si=F2kHBMJuQQ6t8Wnu8n5yCw&pi=e-tKRqVKoZQKWx Keep up the amazing work and definitely keep sending lovely tunes!,Intact Records (Background Chill Music & Good Vibes On The Road),N/A,Obsessed,"African music, Afrobeat / Afropop, Afro House / Amapiano, Classical music, Commercial / Mainstream, Film music, Grime, Hip-hop, Latin music, Trap, Catchy, Indie, Featuring, Radio edit, Synths, Video clip, Available on Spotify, Composer, Early project, On stage experience, International potential, Strong social media presence, Supported artist, Unsigned artist, Upcoming project, Young talent"
"Vybz fm Your song has been added to the Vybz FM system and will be broadcasted on VybzFM.com for at least three months. Although songs are played randomly and not on a fixed schedule, rest assured that your music will be featured on the online platform at least once a day.",Vybz fm,N/A,Obsessed,"Beats / Lo-fi, Chill / Lo-fi Hip-Hop, Chill out, Commercial / Mainstream, Dream pop, Indie folk, Indie pop, Lofi bedroom, Catchy, Chill, Creative, Dramatic, Good vibes, Indie, Lo-fi, Meaningful lyrics, Mainstream, Melancholic, Melodic, Dreamy, Positive, Relaxing, Romantic, Sensual"
https://open.spotify.com/playlist/01IRnMRgAgG6N129ZH7z7F?si=imnzn-lwQ32oBYvpv9pfrg&pi=e-WQkQ3R_dS-6i,I was only falling in love,N/A,Obsessed,"Chill out, Deep house, House music, Progressive / Melodic House & Techno, Chill, Dreamy"
"hi there, really beautiful voice and lovely atmospheres and chords. love the part where the other voice comes in as well. it's a bit too commercial/vocal-focused for my playlist i'm afraid, as my playlist is aimed at slightly deeper/more melodic house music. really enjoyed this though, your voice would work great for more housey stuff as well i think! thanks a lot for sharing this one. good luck with the release and keep up the good work! :)",Chill Melodic House (Robby East),Fail,Obsessed,"Chill out, Deep house, Catchy, Chill, Good vibes, Meaningful lyrics, Tropical, Available on Spotify, Supported artist, Unsigned artist, Upcoming project, Young talent"
"Hey Aspen Jade! I listened to your song and I enjoyed the main chords, but due to the vocals I don´t feel it´s a match for my playlist. Hope you understand!",Chill & Deep Vibes,Fail,Obsessed,"Chill out, Commercial / Mainstream, Dance pop, Electronica, Electropop, Indie folk, Indie pop, Singer songwriter, Chill, Contemporary, Indie, Mainstream, Dreamy, Romantic"
"Hey! The verses are cool, got some interesting stuff going on in the mix. But when the chorus kicks in, it feels a bit too upbeat for the chill vibes I'm vibing with in my playlist. Not a perfect match this time, but I'm curious to catch more of your tunes!",Astral,Fail,Obsessed,"Chill out, Commercial / Mainstream, Dance music, Hip-hop, House music, Indie pop, Pop rock, Synthwave, Urban pop, Chanson Française/Variété, Chill, Contemporary, Danceable, Offbeat, Eclectic, Standard, Good vibes, Unique, Meaningful lyrics, Melodic, Underground, Unplugged, Autotune, Beatmaker, Covers, Demos, Finished track, Remix, Synths, Urban sounds, Available on Spotify, Composer, Early project, On stage experience, International potential, Strong social media presence, Supported artist, Unsigned artist, Upcoming project, Young talent"
"Hi there ! It's a nice piece, great production and performance, but it doesn't quite match the color of my playlist at the moment, so I will have to pass. Thanks for the share and good luck with this release !",Somekind Records,Fail,Obsessed,"Alternative rock, Chill out, Commercial / Mainstream, Country music, Dance music, Dance pop, Electropop, Indie folk, Indie pop, Rap in English, Authentic, Catchy, Chill, Danceable, Indie, Mainstream, Melodic, Romantic, Tropical, Upbeat, Acoustic guitar, Beatmaker, Beats, Featuring, Covers, Electronic sounds, Finished track, Piano, Sync-friendly, Synths, All supports, Available on Spotify, Strong social media presence, Unsigned artist, Upcoming project"
"For me, I'd like to hear a stronger chorus and hook that we can sink our teeth in as the listener. Right now, it felt a little too generic when compared to other submissions in this genre this week. Good potential though! You're heading in the right direction.",Gas Mask Magazine,Fail,Obsessed,"Hip-hop, Indie pop, R&B, Urban pop"
You've been refunded 2 Grooviz!,Breathe The Music,N/A,Obsessed,"Alternative rock, Chill out, Electronica, Electropop, Hip-hop, Indie pop, R&B, Energetic, Indie, Positive, Electric guitar, Electronic sounds"
You've been refunded 2 Grooviz!,Good Vibes,N/A,Obsessed,"Chill / Lo-fi Hip-Hop, Chill out, Electropop, Hip-hop, Indie pop, Pop Punk, Pop rock, R&B, Chill, Indie, Electric guitar"
https://thechrdmag.com/f/aspen-jade-and-xeven-drop-new-club-anthem-infinite,M37 Jase,N/A,INFINITE,"Afrobeat / Afropop, Drill/Jersey, Hip-hop, Rap in English, R&B, Trap, Authentic, Catchy, Danceable, Energetic, Experimental, Good vibes, Indie, Meaningful lyrics, Original, Positive, Captivating, Acoustic guitar, Drums, Remix, Sync-friendly, Urban sounds, Available on Spotify, On stage experience, Strong social media presence, Supported artist, Unsigned artist, Upcoming project, Young talent"
Please be patient! This curator/pro is reviewing all the tracks received,🇺🇸🔥 Apply to Play Mondo 2024 Showcase Festival,Fail,INFINITE,"Alternative rock, Blues, Country music, Dance music, Electronica, Jazz fusion, Hip-hop, Indie folk, Indie pop, Latin music, On stage experience"
https://open.spotify.com/playlist/7kllflzLAWR5PUH3PX6xms,Voltage,N/A,INFINITE,"Beats / Lo-fi, Commercial / Mainstream, Dance pop, Deep house, Drill/Jersey, Electropop, Indie pop, International pop, Neo / Modern Classical, Solo Piano, Chill, Danceable, Good vibes, Positive, Relaxing, Electronic sounds, Synths, Available on Spotify"
"Bonjour, nous vous confirmons avoir bien diffusé votre titre sur notre antenne, nous vous remercions de votre confiance et de votre fidélité sur nos ondes et à très vite sur les antennes du Dhectar.",Dhectar,N/A,INFINITE,"Commercial / Mainstream, Dance music, Dance pop, Deep house, Electropop, Future house, Hard Techno, Nouvelle scene, Techno, Trance, Authentic, Danceable, Eclectic, Energetic, Good vibes, Indie, Mainstream, Electronic sounds, Instrumental, Sync-friendly, Synths, All supports, Composer, Early project, International potential, Strong social media presence, Supported artist, Unsigned artist, Young talent"
https://open.spotify.com/playlist/0NbHD7mLjpT27kAmflILeI?si=6e3dfa85234845b7,Kiwistage,N/A,INFINITE,"Bass music, Dance music, Dance pop, Deep house, Electropop, Electro swing, Future house, House music, Phonk, Tech House, Dark, Energetic, Engaged, Intense, Melodic, Romantic, Underground, Captivating, Upbeat, Bass guitar, Beatmaker, Beats, Covers, Demos, Electric guitar, Finished track, Piano, Radio edit, Remix, Vocals, Available on Spotify, Supported artist, Unsigned artist, Young talent"
https://open.spotify.com/playlist/0TTdIInwWiH0HiAVOZdf7Y,Millennium Jazz Music,N/A,INFINITE,"Beats / Lo-fi, Chill / Lo-fi Hip-Hop, Chill out, Jazz fusion, Instrumental, Instrumental hip-hop, International rap, Lofi bedroom, Soul, Chill, Downbeat, Experimental, Fusion, Good vibes, Lo-fi, Melancholic, Melodic, Relaxing, Underground, Upbeat"
"Super chill vocals, with an impressive performance. However though, I struggled a bit with the stuttered melodies in the drop, so unfortunately I have to pass on this occasion. Thanks for a cool listen, though, and best wishes with the release.",House Magic,Fail,INFINITE,"Bass music, Chill out, Dance music, Dance pop, Deep house, Electronica, French house, Future house, House music, Techno, Authentic, Catchy, Creative, Dark, Energetic, Good vibes, Groovy, Mainstream, Melancholic, Melodic, Tropical, Beats, Electronic sounds, Finished track, Drums, Professional production, Synths, Available on Spotify"
"Hello Aspen :) Hope you having a great day ! I've listened to your song and i kinda liked the vibe, i think this is a suitable song to played to be dreamy,dance! Liked your style by the way. You made a good song! I would want to share but unhappily i am looking for energy pop simlar to Dua Lipa,Taylor swift vibes nowadays . Take care !",Falling Star Music,Fail,INFINITE,"Afrobeat / Afropop, Commercial / Mainstream, Dance music, Dance pop, Hip-hop, Hyperpop, Indie pop, International pop, Trap, Energetic, Mainstream, Melodic, Captivating"
"Dear Aspen Jade, Thanks a lot for reaching us. Vocals are really smooth and melodic here, instrumental part sounds clean and atmospheric here but overall we are looking for some chill and vibey R&B tracks. Best regards, La Belle Musique",La Belle Musique,Fail,INFINITE,"Chill / Lo-fi Hip-Hop, Commercial / Mainstream, Electro Jazz / Nu Jazz, Indie Dance, Indie pop, Lofi bedroom, Progressive / Melodic House & Techno, R&B, Soul, Synthwave, Chill, Danceable, Downbeat, Eclectic, Energetic, Good vibes, Unique, Indie, Lo-fi, Meaningful lyrics, Melodic, Positive, Relaxing, Romantic, Sensual, Simple, Surprising, Tropical, Featuring, Covers, Finished track, Professional production, Remix, Synths, Vocals, Available on Spotify, Composer, Early project, On stage experience, International potential, Strong social media presence, Supported artist, Unsigned artist, Young talent"
